MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924816,0.0940000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,44.8260000,0.1824858,0.0051862,-0.0940967
MsgID.LOCAL_VELOCITY,44.8260000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924802,0.0880000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,45.0760000,0.0276355,0.1167155,-0.0880089
MsgID.LOCAL_VELOCITY,45.0760000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974481,37.7924802,0.0630000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,45.3260000,0.0294123,0.1665810,-0.0636140
MsgID.LOCAL_VELOCITY,45.3260000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974502,37.7924806,0.0320000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,45.5760000,0.0762236,-0.0212591,-0.0322901
MsgID.LOCAL_VELOCITY,45.5760000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924815,-0.0040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,45.8260000,0.1775415,0.0012795,0.0040608
MsgID.LOCAL_VELOCITY,45.8260000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974494,37.7924810,-0.0320000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,46.0760000,0.1187230,0.0466084,0.0321235
MsgID.LOCAL_VELOCITY,46.0760000,-0.0000339,-0.0000317,-0.0004069
MsgID.GLOBAL_POSITION,0.0000000,-122.3974512,37.7924789,-0.0420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.0400000
MsgID.LOCAL_POSITION,46.3260000,-0.1200498,-0.1091800,0.0421451
MsgID.LOCAL_VELOCITY,46.3260000,0.0020561,0.0016780,-0.0481741
MsgID.GLOBAL_POSITION,0.0000000,-122.3974506,37.7924799,-0.0340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,0.0100000,0.0100000
MsgID.LOCAL_POSITION,46.5760000,-0.0554236,0.2328809,0.0340405
MsgID.LOCAL_VELOCITY,46.5760000,0.0219589,0.0111171,0.0177603
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924813,-0.0170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0400000
MsgID.LOCAL_POSITION,46.8260000,0.0942957,0.4099716,0.0174218
MsgID.LOCAL_VELOCITY,46.8260000,-0.0023746,0.0037387,0.0407312
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974510,37.7924804,0.0160000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,47.0760000,-0.0060293,0.1988130,-0.0164537
MsgID.LOCAL_VELOCITY,47.0760000,0.0000000,0.0000314,0.0000224
MsgID.GLOBAL_POSITION,0.0000000,-122.3974494,37.7924787,0.0650000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,47.3260000,-0.1913039,0.3411807,-0.0651690
MsgID.LOCAL_VELOCITY,47.3260000,-0.0000104,0.0000195,0.0000269
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924788,0.1120000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,47.5760000,-0.1814719,0.4119519,-0.1120855
MsgID.LOCAL_VELOCITY,47.5760000,0.0000009,-0.0000184,0.0000333
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924801,0.1560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,47.8270000,-0.0339281,0.2527743,-0.1566486
MsgID.LOCAL_VELOCITY,47.8270000,0.0000087,0.0000075,0.0000404
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924812,0.1900000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,48.0770000,0.0814567,0.2439843,-0.1908454
MsgID.LOCAL_VELOCITY,48.0770000,-0.0000442,-0.0000288,0.0000401
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924817,0.2070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,48.3270000,0.1432071,0.2508238,-0.2074484
MsgID.LOCAL_VELOCITY,48.3270000,0.0000268,-0.0000025,0.0000005
MsgID.GLOBAL_POSITION,0.0000000,-122.3974519,37.7924810,0.2040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,48.5770000,0.0623405,0.1245568,-0.2046689
MsgID.LOCAL_VELOCITY,48.5770000,-0.0000033,-0.0000066,0.0000364
MsgID.GLOBAL_POSITION,0.0000000,-122.3974513,37.7924800,0.1780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,48.8280000,-0.0412524,0.1753197,-0.1784056
MsgID.LOCAL_VELOCITY,48.8280000,-0.0000069,0.0000077,0.0000420
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924800,0.1320000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,49.0780000,-0.0458045,0.4201012,-0.1320505
MsgID.LOCAL_VELOCITY,49.0780000,-0.0000053,-0.0000197,0.0000342
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924803,0.0830000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.2400000
MsgID.LOCAL_POSITION,49.3280000,-0.0141809,0.2932784,-0.0837415
MsgID.LOCAL_VELOCITY,49.3280000,-0.0000037,-0.0000401,-0.2423281
MsgID.GLOBAL_POSITION,0.0000000,-122.3974510,37.7924814,0.4100000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-2.5500000
MsgID.LOCAL_POSITION,49.5780000,0.1060158,0.2039271,-0.4104373
MsgID.LOCAL_VELOCITY,49.5780000,-0.0024105,0.0152756,-2.5584323
MsgID.GLOBAL_POSITION,0.0000000,-122.3974483,37.7924801,1.1290000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0200000,-3.8500000
MsgID.LOCAL_POSITION,49.8280000,-0.0316906,0.4423587,-1.1291203
MsgID.LOCAL_VELOCITY,49.8280000,-0.0152880,0.0250283,-3.8509817
MsgID.STATE,0.0000000,True,True,1
